# Item:  0
# File:  C:\Users\rwiuf\Dropbox\DTU\34029 Fagprojekt\Report\Project-Graphene\VNL\PythonScripts\Lennard-Jones\Z2\SheetVib.hdf5
# Title: SheetVib.hdf5 - VibrationalMode_0
# Type:  VibrationalMode
+------------------------------------------------------------------------------+
| Vibrational Mode Report                                                      |
| ---------------------------------------------------------------------------- |
| K-point = [0.000100, 0.000100, 0.000000]   (fractional)                      |
+------------------------------------------------------------------------------+
  Mode index         Energy           Wavenumber
+------------------------------------------------------------------------------+
   Mode  86:        13.22 meV        106.66 cm^-1    (eigenmode available)
   Mode  87:        13.23 meV        106.69 cm^-1    (eigenmode available)
   Mode  88:        13.23 meV        106.70 cm^-1    (eigenmode available)
   Mode  89:        13.23 meV        106.74 cm^-1    (eigenmode available)
   Mode  90:        13.24 meV        106.77 cm^-1    (eigenmode available)
   Mode  91:        13.24 meV        106.81 cm^-1    (eigenmode available)
   Mode  92:        13.25 meV        106.85 cm^-1    (eigenmode available)
   Mode  93:        13.25 meV        106.87 cm^-1    (eigenmode available)
   Mode  94:        13.28 meV        107.07 cm^-1    (eigenmode available)
   Mode  95:        13.28 meV        107.13 cm^-1    (eigenmode available)
   Mode  96:        13.30 meV        107.31 cm^-1    (eigenmode available)
   Mode  97:        13.32 meV        107.42 cm^-1    (eigenmode available)
   Mode  98:        13.34 meV        107.63 cm^-1    (eigenmode available)
   Mode  99:        13.35 meV        107.66 cm^-1    (eigenmode available)
   Mode 100:        13.35 meV        107.69 cm^-1    (eigenmode available)
   Mode 101:        13.36 meV        107.73 cm^-1    (eigenmode available)
   Mode 102:        13.37 meV        107.80 cm^-1    (eigenmode available)
   Mode 103:        13.37 meV        107.80 cm^-1    (eigenmode available)
   Mode 104:        13.37 meV        107.82 cm^-1    (eigenmode available)
   Mode 105:        13.37 meV        107.85 cm^-1    (eigenmode available)
   Mode 106:        13.40 meV        108.06 cm^-1    (eigenmode available)
   Mode 107:        13.47 meV        108.62 cm^-1    (eigenmode available)
   Mode 108:        13.47 meV        108.63 cm^-1    (eigenmode available)
   Mode 109:        13.48 meV        108.70 cm^-1    (eigenmode available)
   Mode 110:        13.48 meV        108.73 cm^-1    (eigenmode available)
   Mode 111:        13.49 meV        108.77 cm^-1    (eigenmode available)
   Mode 112:        13.52 meV        109.08 cm^-1    (eigenmode available)
   Mode 113:        13.53 meV        109.13 cm^-1    (eigenmode available)
   Mode 114:        13.54 meV        109.19 cm^-1    (eigenmode available)
   Mode 115:        13.58 meV        109.50 cm^-1    (eigenmode available)
   Mode 116:        13.59 meV        109.64 cm^-1    (eigenmode available)
   Mode 117:        13.64 meV        109.99 cm^-1    (eigenmode available)
   Mode 118:        13.65 meV        110.10 cm^-1    (eigenmode available)
   Mode 119:        13.66 meV        110.14 cm^-1    (eigenmode available)
   Mode 120:        13.67 meV        110.26 cm^-1    (eigenmode available)
   Mode 121:        13.67 meV        110.28 cm^-1    (eigenmode available)
   Mode 122:        13.69 meV        110.40 cm^-1    (eigenmode available)
   Mode 123:        13.69 meV        110.42 cm^-1    (eigenmode available)
   Mode 124:        13.69 meV        110.45 cm^-1    (eigenmode available)
   Mode 125:        13.70 meV        110.48 cm^-1    (eigenmode available)
   Mode 126:        13.72 meV        110.70 cm^-1    (eigenmode available)
   Mode 127:        13.73 meV        110.78 cm^-1    (eigenmode available)
   Mode 128:        13.76 meV        111.00 cm^-1    (eigenmode available)
   Mode 129:        13.79 meV        111.23 cm^-1    (eigenmode available)
   Mode 130:        13.82 meV        111.46 cm^-1    (eigenmode available)
   Mode 131:        13.82 meV        111.46 cm^-1    (eigenmode available)
   Mode 132:        13.83 meV        111.55 cm^-1    (eigenmode available)
   Mode 133:        13.84 meV        111.60 cm^-1    (eigenmode available)
   Mode 134:        13.84 meV        111.64 cm^-1    (eigenmode available)
   Mode 135:        13.87 meV        111.85 cm^-1    (eigenmode available)
   Mode 136:        13.87 meV        111.87 cm^-1    (eigenmode available)
   Mode 137:        13.87 meV        111.91 cm^-1    (eigenmode available)
   Mode 138:        13.88 meV        111.92 cm^-1    (eigenmode available)
   Mode 139:        13.88 meV        111.94 cm^-1    (eigenmode available)
   Mode 140:        13.88 meV        111.98 cm^-1    (eigenmode available)
   Mode 141:        13.89 meV        112.00 cm^-1    (eigenmode available)
   Mode 142:        13.90 meV        112.14 cm^-1    (eigenmode available)
   Mode 143:        13.92 meV        112.27 cm^-1    (eigenmode available)
   Mode 144:        13.98 meV        112.78 cm^-1    (eigenmode available)
   Mode 145:        14.08 meV        113.57 cm^-1    (eigenmode available)
   Mode 146:        14.09 meV        113.61 cm^-1    (eigenmode available)
   Mode 147:        14.12 meV        113.90 cm^-1    (eigenmode available)
   Mode 148:        14.16 meV        114.23 cm^-1    (eigenmode available)
   Mode 149:        14.17 meV        114.28 cm^-1    (eigenmode available)
   Mode 150:        14.18 meV        114.36 cm^-1    (eigenmode available)
   Mode 151:        14.18 meV        114.39 cm^-1    (eigenmode available)
   Mode 152:        14.19 meV        114.48 cm^-1    (eigenmode available)
   Mode 153:        14.21 meV        114.65 cm^-1    (eigenmode available)
   Mode 154:        14.24 meV        114.86 cm^-1    (eigenmode available)
   Mode 155:        14.25 meV        114.92 cm^-1    (eigenmode available)
   Mode 156:        14.29 meV        115.26 cm^-1    (eigenmode available)
   Mode 157:        14.30 meV        115.33 cm^-1    (eigenmode available)
   Mode 158:        14.30 meV        115.33 cm^-1    (eigenmode available)
   Mode 159:        14.30 meV        115.37 cm^-1    (eigenmode available)
   Mode 160:        14.35 meV        115.73 cm^-1    (eigenmode available)
   Mode 161:        14.37 meV        115.86 cm^-1    (eigenmode available)
   Mode 162:        14.41 meV        116.21 cm^-1    (eigenmode available)
   Mode 163:        14.41 meV        116.26 cm^-1    (eigenmode available)
   Mode 164:        14.42 meV        116.31 cm^-1    (eigenmode available)
   Mode 165:        14.43 meV        116.37 cm^-1    (eigenmode available)
   Mode 166:        14.43 meV        116.38 cm^-1    (eigenmode available)
   Mode 167:        14.47 meV        116.68 cm^-1    (eigenmode available)
   Mode 168:        14.64 meV        118.05 cm^-1    (eigenmode available)
   Mode 169:        14.64 meV        118.10 cm^-1    (eigenmode available)
   Mode 170:        14.71 meV        118.67 cm^-1    (eigenmode available)
   Mode 171:        14.75 meV        118.95 cm^-1    (eigenmode available)
   Mode 172:        14.75 meV        119.00 cm^-1    (eigenmode available)
   Mode 173:        14.79 meV        119.30 cm^-1    (eigenmode available)
   Mode 174:        14.81 meV        119.44 cm^-1    (eigenmode available)
   Mode 175:        14.81 meV        119.48 cm^-1    (eigenmode available)
   Mode 176:        14.83 meV        119.64 cm^-1    (eigenmode available)
   Mode 177:        14.84 meV        119.70 cm^-1    (eigenmode available)
   Mode 178:        14.85 meV        119.80 cm^-1    (eigenmode available)
   Mode 179:        14.86 meV        119.89 cm^-1    (eigenmode available)
   Mode 180:        14.89 meV        120.13 cm^-1    (eigenmode available)
   Mode 181:        14.91 meV        120.25 cm^-1    (eigenmode available)
   Mode 182:        14.99 meV        120.92 cm^-1    (eigenmode available)
   Mode 183:        15.08 meV        121.67 cm^-1    (eigenmode available)
   Mode 184:        15.09 meV        121.70 cm^-1    (eigenmode available)
   Mode 185:        15.10 meV        121.75 cm^-1    (eigenmode available)
   Mode 186:        15.10 meV        121.80 cm^-1    (eigenmode available)
   Mode 187:        15.10 meV        121.83 cm^-1    (eigenmode available)
   Mode 188:        15.11 meV        121.90 cm^-1    (eigenmode available)
   Mode 189:        15.16 meV        122.25 cm^-1    (eigenmode available)
   Mode 190:        15.17 meV        122.38 cm^-1    (eigenmode available)
   Mode 191:        15.20 meV        122.59 cm^-1    (eigenmode available)
   Mode 192:        15.26 meV        123.05 cm^-1    (eigenmode available)
   Mode 193:        15.26 meV        123.05 cm^-1    (eigenmode available)
   Mode 194:        15.27 meV        123.14 cm^-1    (eigenmode available)
   Mode 195:        15.28 meV        123.25 cm^-1    (eigenmode available)
   Mode 196:        15.30 meV        123.43 cm^-1    (eigenmode available)
   Mode 197:        15.35 meV        123.84 cm^-1    (eigenmode available)
   Mode 198:        15.46 meV        124.73 cm^-1    (eigenmode available)
   Mode 199:        15.49 meV        124.96 cm^-1    (eigenmode available)
   Mode 200:        15.53 meV        125.26 cm^-1    (eigenmode available)
   Mode 201:        15.55 meV        125.43 cm^-1    (eigenmode available)
   Mode 202:        15.58 meV        125.66 cm^-1    (eigenmode available)
   Mode 203:        15.60 meV        125.83 cm^-1    (eigenmode available)
   Mode 204:        15.62 meV        125.95 cm^-1    (eigenmode available)
   Mode 205:        15.62 meV        125.96 cm^-1    (eigenmode available)
   Mode 206:        15.66 meV        126.29 cm^-1    (eigenmode available)
   Mode 207:        15.71 meV        126.71 cm^-1    (eigenmode available)
   Mode 208:        15.73 meV        126.85 cm^-1    (eigenmode available)
   Mode 209:        15.75 meV        127.02 cm^-1    (eigenmode available)
   Mode 210:        15.75 meV        127.06 cm^-1    (eigenmode available)
   Mode 211:        15.79 meV        127.34 cm^-1    (eigenmode available)
   Mode 212:        16.07 meV        129.57 cm^-1    (eigenmode available)
   Mode 213:        16.22 meV        130.81 cm^-1    (eigenmode available)
   Mode 214:        16.24 meV        130.97 cm^-1    (eigenmode available)
   Mode 215:        16.26 meV        131.17 cm^-1    (eigenmode available)
   Mode 216:        16.27 meV        131.26 cm^-1    (eigenmode available)
   Mode 217:        16.28 meV        131.27 cm^-1    (eigenmode available)
   Mode 218:        16.29 meV        131.38 cm^-1    (eigenmode available)
   Mode 219:        16.29 meV        131.43 cm^-1    (eigenmode available)
   Mode 220:        16.30 meV        131.50 cm^-1    (eigenmode available)
   Mode 221:        16.31 meV        131.51 cm^-1    (eigenmode available)
